location,size,total_sqft,bath,price,bhk,price_per_sqft
Dhayari Phata,3 BHK,1305.0,2.0,49.0,3,3754.7892720306513
Dhole Patil Road,4 Bedroom,800.0,4.0,120.0,4,15000.0
Erandwane,5 BHK,2700.0,7.0,125.0,5,4629.62962962963
Fatima Nagar,3 Bedroom,1100.0,3.0,78.0,3,7090.909090909091
Fergusson College Road,6 Bedroom,3500.0,5.0,160.0,6,4571.428571428572
Ganesh Peth,3 BHK,1634.0,3.0,83.33,3,5099.7552019583845
Ganeshkhind,2 BHK,1352.0,2.0,85.0,2,6286.98224852071
Ghorpade Peth,2 BHK,1145.0,2.0,65.0,2,5676.855895196507
Ghorpadi,2 BHK,1240.0,2.0,43.79,2,3531.451612903226
Gokhale Nagar,3 BHK,2200.0,3.0,190.0,3,8636.363636363636
Gultekdi,2 BHK,1020.0,2.0,39.0,2,3823.529411764706
Guruwar peth,4 BHK,3600.0,4.0,365.0,4,10138.888888888889
Hadapsar,2 BHK,1168.0,2.0,61.0,2,5222.602739726028
Hadapsar Industrial Estate,2 BHK,1205.0,2.0,75.0,2,6224.066390041494
Hingne Khurd,2 BHK,1195.0,2.0,100.0,2,8368.200836820084
Jangali Maharaj Road,2 BHK,1028.0,2.0,49.0,2,4766.536964980544
Kalyani Nagar,2 BHK,1175.0,2.0,48.27,2,4108.085106382979
Karve Nagar,3 BHK,1550.0,2.0,90.0,3,5806.451612903225
Karve Road,3 BHK,1826.0,3.0,165.0,3,9036.144578313253
Kasba Peth,5 Bedroom,2400.0,5.0,160.0,5,6666.666666666667
Katraj,3 BHK,1603.0,3.0,96.0,3,5988.7710542732375
Khadaki,3 BHK,1350.0,3.0,72.0,3,5333.333333333333
Khadki,1 BHK,714.0,1.0,28.0,1,3921.5686274509803
Kharadi,2 BHK,1215.0,2.0,65.0,2,5349.794238683127
Kondhwa,3 BHK,1405.0,2.0,77.0,3,5480.427046263345
Kondhwa Budruk,2 BHK,1142.0,2.0,51.0,2,4465.84938704028
Kondhwa Khurd,4 Bedroom,4000.0,4.0,170.0,4,4250.0
Koregaon Park,3 BHK,1870.0,3.0,90.0,3,4812.834224598931
Kothrud,2 BHK,1313.0,2.0,73.0,2,5559.786747905559
Law College Road,3 BHK,1945.0,3.0,120.0,3,6169.665809768638
Laxmi Road,3 BHK,1573.0,3.0,95.0,3,6039.4151303242215
Lulla Nagar,2 BHK,1255.0,2.0,92.0,2,7330.677290836654
Mahatma Gandhi Road,4 BHK,1400.0,3.0,91.15,4,6510.714285714285
Mangalwar peth,2 BHK,1235.0,2.0,43.63,2,3532.7935222672063
Manik Bagh,3 BHK,1380.0,2.0,52.0,3,3768.1159420289855
Market yard,7 Bedroom,1500.0,9.0,250.0,7,16666.666666666668
Model colony,2 BHK,1238.0,2.0,67.0,2,5411.954765751211
Mukund Nagar,3 BHK,1465.0,2.0,74.72,3,5100.341296928327
Mundhawa,2 BHK,1418.0,2.0,103.0,2,7263.7517630465445
Nagar Road,3 BHK,1650.0,3.0,165.0,3,10000.0
Nana Peth,1 RK,351.0,1.0,16.0,1,4558.404558404558
Narayan Peth,2 BHK,1279.0,2.0,48.0,2,3752.9319781078966
Narayangaon,3 Bedroom,1870.0,3.0,200.0,3,10695.187165775402
Navi Peth,4 Bedroom,1500.0,5.0,230.0,4,15333.333333333334
Padmavati,3 BHK,2526.0,2.0,250.0,3,9897.070467141726
Parvati Darshan,3 Bedroom,1550.0,2.0,150.0,3,9677.41935483871
Paud Road,3 BHK,1845.0,2.0,68.27,3,3700.271002710027
Pirangut,3 BHK,1360.0,2.0,59.27,3,4358.088235294118
Prabhat Road,3 BHK,1150.0,2.0,75.0,3,6521.739130434783
Pune Railway Station,2 BHK,1260.0,2.0,49.5,2,3928.5714285714284
Rasta Peth,3 Bedroom,1200.0,3.0,74.0,3,6166.666666666667
Raviwar Peth,2 BHK,965.0,2.0,42.5,2,4404.145077720207
Sadashiv Peth,3 BHK,1350.0,2.0,48.0,3,3555.5555555555557
Sahakar Nagar,2 BHK,1447.0,2.0,75.97,2,5250.172771250864
Salunke Vihar,3 BHK,1229.0,3.0,86.03,3,7000.0
Sasson Road,2 BHK,1027.0,2.0,43.0,2,4186.952288218111
Satara Road,2 BHK,1153.0,2.0,48.5,2,4206.418039895923
Senapati Bapat Road,4 BHK,2856.0,5.0,145.5,4,5094.53781512605
Shaniwar Peth,2 BHK,1065.0,2.0,50.0,2,4694.835680751174
Shivaji Nagar,2 BHK,1030.0,2.0,61.0,2,5922.330097087379
Shukrawar Peth,2 BHK,1340.0,2.0,61.0,2,4552.238805970149
Sinhagad Road,4 BHK,4000.0,5.0,212.0,4,5300.0
Somwar Peth,1 Bedroom,600.0,1.0,32.0,1,5333.333333333333
Swargate,3 BHK,1410.0,2.0,44.42,3,3150.354609929078
Tilak Road,2 BHK,1055.0,2.0,45.35,2,4298.578199052133
Uruli Devachi,2 BHK,1304.0,2.0,79.0,2,6058.2822085889575
Vadgaon Budruk,4 BHK,2720.0,4.0,485.0,4,17830.882352941175
Wadgaon Sheri,2 BHK,990.0,2.0,31.5,2,3181.818181818182
Viman Nagar,2 BHK,1035.0,2.0,39.33,2,3800.0
Vishrant Wadi,1 BHK,700.0,1.0,30.09,1,4298.571428571428
Wagholi,2 BHK,1120.0,2.0,43.0,2,3839.285714285714
Wakadewadi,2 BHK,1300.0,2.0,73.0,2,5615.384615384615
Wanowrie,2 BHK,1239.0,2.0,82.0,2,6618.240516545601
Warje,3 BHK,1403.0,3.0,51.63,3,3679.9714896650034
Yerawada,2 BHK,1365.0,2.0,92.0,2,6739.92673992674
Alandi Road,2 BHK,1165.0,2.0,135.0,2,11587.982832618025
Ambegaon Budruk,3 BHK,1130.0,2.0,45.19,3,3999.1150442477874
Anandnagar,3 BHK,1776.42,3.0,105.0,3,5910.764346269463
Aundh,4 Bedroom,900.0,4.0,175.0,4,19444.444444444445
Aundh Road,2 BHK,1194.0,2.0,47.0,2,3936.348408710218
Balaji Nagar,2 BHK,1107.0,2.0,33.0,2,2981.029810298103
Baner,3 BHK,2319.0,3.0,180.0,3,7761.966364812419
Baner road,3 BHK,1520.0,3.0,80.0,3,5263.1578947368425
Bhandarkar Road,3 BHK,1536.0,3.0,89.0,3,5794.270833333333
Bhavani Peth,4 BHK,3000.0,4.0,240.0,4,8000.0
Bibvewadi,2 BHK,1050.0,2.0,38.0,2,3619.0476190476193
Bopodi,3 BHK,1850.0,3.0,146.0,3,7891.891891891892
Budhwar Peth,2 BHK,1112.0,2.0,62.0,2,5575.5395683453235
Bund Garden Road,3 BHK,1535.0,3.0,72.5,3,4723.127035830619
Camp,2 BHK,1050.0,2.0,35.0,2,3333.3333333333335
Chandan Nagar,4 Bedroom,2400.0,3.0,370.0,4,15416.666666666666
Dapodi,3 BHK,1250.0,3.0,65.0,3,5200.0
Deccan Gymkhana,2 BHK,1187.0,2.0,52.0,2,4380.791912384162
Dehu Road,2 BHK,1164.0,2.0,56.0,2,4810.996563573884
Dhankawadi,3 BHK,1395.0,2.0,62.78,3,4500.358422939068
Dhayari Phata,3 BHK,2072.0,3.0,108.0,3,5212.355212355213
Dhole Patil Road,3 BHK,1450.0,3.0,60.91,3,4200.689655172414
Erandwane,3 BHK,1550.0,3.0,82.0,3,5290.322580645161
Fatima Nagar,2 BHK,1315.0,2.0,90.0,2,6844.106463878327
Fergusson College Road,4 BHK,3067.0,4.0,230.0,4,7499.184871209651
Ganesh Peth,2 BHK,1210.0,2.0,72.0,2,5950.413223140496
Ganeshkhind,3 BHK,1075.0,2.0,47.0,3,4372.093023255814
Ghorpade Peth,6 BHK,11338.0,9.0,1000.0,6,8819.897689186806
Ghorpadi,3 BHK,1215.0,3.0,42.2,3,3473.251028806584
Gokhale Nagar,3 BHK,1470.0,2.0,75.0,3,5102.040816326531
Gultekdi,4 Bedroom,30000.0,4.0,2100.0,4,7000.0
Guruwar peth,3 BHK,1590.0,2.0,125.0,3,7861.635220125786
Hadapsar,2 BHK,1050.0,2.0,36.75,2,3500.0
Hadapsar Industrial Estate,2 BHK,1306.0,2.0,55.91,2,4281.010719754977
Hingne Khurd,3 BHK,2000.0,3.0,250.0,3,12500.0
Jangali Maharaj Road,3 BHK,1445.0,3.0,64.0,3,4429.065743944637
Kalyani Nagar,3 BHK,1220.0,3.0,58.0,3,4754.098360655737
Karve Nagar,4 Bedroom,3190.0,3.0,160.0,4,5015.673981191223
Karve Road,2 BHK,1215.0,2.0,51.26,2,4218.930041152264
Kasba Peth,3 BHK,1920.0,2.0,88.0,3,4583.333333333333
Katraj,2 BHK,1390.0,2.0,60.0,2,4316.546762589928
Khadaki,3 Bedroom,800.0,2.0,75.0,3,9375.0
Khadki,3 Bedroom,600.0,3.0,100.0,3,16666.666666666668
Kharadi,2 BHK,1196.0,2.0,71.74,2,5998.327759197324
Kondhwa,3 BHK,1550.0,2.0,75.0,3,4838.709677419355
Kondhwa Budruk,2 BHK,1418.0,2.0,101.0,2,7122.708039492242
Kondhwa Khurd,3 BHK,1655.0,3.0,115.0,3,6948.640483383686
Koregaon Park,2 BHK,1115.0,2.0,33.45,2,3000.0000000000005
Kothrud,2 BHK,1170.0,2.0,68.0,2,5811.965811965812
Law College Road,2 BHK,1035.0,2.0,38.3,2,3700.483091787439
Laxmi Road,3 BHK,1306.0,2.0,58.0,3,4441.04134762634
Lulla Nagar,2 BHK,750.0,2.0,22.0,2,2933.3333333333335
Mahatma Gandhi Road,3 BHK,1917.0,3.0,122.0,3,6364.110589462703
Mangalwar peth,3 BHK,1615.0,3.0,58.0,3,3591.331269349845
Manik Bagh,2 BHK,1071.0,2.0,52.25,2,4878.618113912232
Market yard,2 BHK,1325.0,2.0,119.0,2,8981.132075471698
Model colony,7 Bedroom,3000.0,4.0,900.0,7,30000.0
Mukund Nagar,3 BHK,1400.0,2.0,88.0,3,6285.714285714285
Mundhawa,2 BHK,1246.0,2.0,82.0,2,6581.0593900481545
Nagar Road,2 BHK,1215.0,2.0,40.0,2,3292.1810699588477
Nana Peth,2 BHK,1200.0,2.0,49.5,2,4125.0
Narayan Peth,4 Bedroom,450.0,3.0,53.0,4,11777.777777777777
Narayangaon,2 BHK,1200.0,2.0,60.0,2,5000.0
Navi Peth,2 BHK,945.0,2.0,50.0,2,5291.005291005291
Padmavati,4 BHK,4460.0,5.0,650.0,4,14573.991031390135
Parvati Darshan,2 BHK,1175.0,2.0,52.0,2,4425.531914893617
Pashan,2 BHK,920.0,2.0,63.0,2,6847.826086956522
Paud Road,4 BHK,3024.0,5.0,350.0,4,11574.074074074075
Pirangut,2 Bedroom,1600.0,2.0,110.0,2,6875.0
Prabhat Road,4 Bedroom,750.0,2.0,110.0,4,14666.666666666666
Pune Railway Station,4 Bedroom,2400.0,4.0,700.0,4,29166.666666666668
Rasta Peth,2 BHK,955.0,1.0,34.01,2,3561.256544502618
Raviwar Peth,3 BHK,1750.0,3.0,100.0,3,5714.285714285715
Sadashiv Peth,3 BHK,1425.0,2.0,64.0,3,4491.228070175439
Sahakar Nagar,3 BHK,2150.0,3.0,265.0,3,12325.581395348838
Salunke Vihar,2 BHK,1165.0,2.0,40.5,2,3476.3948497854076
Sasson Road,2 BHK,1050.0,2.0,48.0,2,4571.428571428572
Satara Road,3 BHK,1370.0,2.0,75.0,3,5474.4525547445255
Senapati Bapat Road,3 BHK,1374.0,2.0,72.0,3,5240.174672489083
Shaniwar Peth,3 BHK,1754.0,3.0,124.0,3,7069.555302166476
Shivaji Nagar,3 BHK,1847.0,3.0,110.0,3,5955.603681645913
Shukrawar Peth,3 BHK,1850.0,4.0,139.0,3,7513.513513513513
Sinhagad Road,3 Bedroom,3297.0,3.0,135.0,3,4094.631483166515
Somwar Peth,2 BHK,1187.0,2.0,45.0,2,3791.0699241786015
Swargate,3 BHK,1400.0,2.0,40.44,3,2888.5714285714284
Tilak Road,3 Bedroom,600.0,2.0,30.0,3,5000.0
Uruli Devachi,2 BHK,1350.0,2.0,180.0,2,13333.333333333334
Vadgaon Budruk,3 Bedroom,3000.0,2.0,120.0,3,4000.0
Wadgaon Sheri,1 BHK,693.0,1.0,34.3,1,4949.494949494949
Viman Nagar,3 BHK,1980.0,3.0,224.0,3,11313.131313131313
Vishrant Wadi,2 BHK,1021.0,2.0,48.0,2,4701.273261508325
Wagholi,2 BHK,1165.0,2.0,95.0,2,8154.50643776824
Wakadewadi,3 BHK,1756.0,3.0,92.0,3,5239.179954441914
Wanowrie,3 BHK,1739.0,3.0,105.0,3,6037.952846463485
Warje,2 BHK,1280.0,2.0,65.0,2,5078.125
Yerawada,2 BHK,1215.0,2.0,58.86,2,4844.444444444444
Alandi Road,2 BHK,950.0,2.0,46.5,2,4894.736842105263
Ambegaon Budruk,3 BHK,1082.0,2.0,49.0,3,4528.650646950093
Anandnagar,2 BHK,1050.0,2.0,42.0,2,4000.0
Aundh,2 BHK,1080.0,2.0,53.35,2,4939.814814814815
Aundh Road,2 BHK,1100.0,2.0,55.0,2,5000.0
Balaji Nagar,4 Bedroom,3200.0,4.0,205.0,4,6406.25
Baner,2 BHK,1311.0,2.0,78.0,2,5949.656750572082
Baner road,3 BHK,1608.0,3.0,67.98,3,4227.611940298508
Bhandarkar Road,2 BHK,1160.0,2.0,36.0,2,3103.448275862069
Bhavani Peth,2 BHK,1170.0,2.0,71.0,2,6068.376068376068
Bibvewadi,2 BHK,1155.0,2.0,40.6,2,3515.151515151515
Bopodi,3 BHK,1255.0,2.0,77.68,3,6189.641434262949
Budhwar Peth,2 BHK,1065.0,2.0,44.95,2,4220.657276995305
Bund Garden Road,1 BHK,674.0,1.0,21.0,1,3115.727002967359
Camp,3 BHK,1936.0,4.0,126.0,3,6508.264462809917
Chandan Nagar,3 BHK,2289.0,3.0,260.0,3,11358.671909130624
Dapodi,2 BHK,1100.0,2.0,38.45,2,3495.454545454546
Deccan Gymkhana,3 BHK,2257.0,4.0,157.0,3,6956.136464333185
Dehu Road,2 BHK,1055.0,2.0,55.0,2,5213.270142180095
Dhankawadi,3 BHK,1530.0,3.0,51.87,3,3390.1960784313724
Dhayari Phata,3 BHK,1700.0,3.0,97.0,3,5705.882352941177
Dhole Patil Road,3 BHK,1575.0,2.0,78.0,3,4952.380952380952
Erandwane,3 BHK,3500.0,4.0,330.0,3,9428.57142857143
Fatima Nagar,2 BHK,1263.0,2.0,93.32,2,7388.756927949327
Fergusson College Road,3 BHK,1559.0,3.0,69.315,3,4446.119307248236
Ganesh Peth,2 BHK,1043.0,2.0,65.0,2,6232.023010546501
Ganeshkhind,2 BHK,1255.0,2.0,53.5,2,4262.948207171315
Ghorpade Peth,2 BHK,1352.5,2.0,93.865,2,6940.110905730129
Ghorpadi,1 BHK,590.0,1.0,13.57,1,2300.0
Gokhale Nagar,3 Bedroom,1550.0,3.0,120.0,3,7741.935483870968
Gultekdi,3 BHK,1220.0,3.0,56.0,3,4590.163934426229
Guruwar peth,3 BHK,1900.0,3.0,160.0,3,8421.052631578947
Hadapsar,3 BHK,1360.0,3.0,55.0,3,4044.1176470588234
Hadapsar Industrial Estate,2 BHK,1100.0,2.0,75.0,2,6818.181818181818
Hingne Khurd,3 BHK,1455.0,3.0,73.31,3,5038.487972508591
Jangali Maharaj Road,2 BHK,1035.0,2.0,40.5,2,3913.0434782608695
Kalyani Nagar,2 BHK,1152.0,2.0,69.0,2,5989.583333333333
Karve Nagar,2 BHK,1299.0,2.0,82.0,2,6312.548113933795
Karve Road,3 BHK,1157.0,2.0,75.0,3,6482.281763180639
Kasba Peth,2 BHK,1050.0,2.0,52.5,2,5000.0
Katraj,2 BHK,1050.0,2.0,40.0,2,3809.5238095238096
Khadaki,2 BHK,1246.0,2.0,67.4,2,5409.309791332264
Khadki,3 BHK,1929.0,3.0,115.0,3,5961.638154484189
Kharadi,2 BHK,1285.0,2.0,60.0,2,4669.260700389105
Kondhwa,3 Bedroom,1200.0,2.0,65.0,3,5416.666666666667
Kondhwa Budruk,4 BHK,3161.0,4.0,214.0,4,6770.00949066751
Kondhwa Khurd,3 BHK,1850.0,3.0,170.0,3,9189.18918918919
Koregaon Park,3 BHK,1025.0,2.0,37.0,3,3609.756097560976
Kothrud,2 BHK,1124.0,3.0,80.0,2,7117.437722419929
Law College Road,2 BHK,1012.0,2.0,54.59,2,5394.268774703557
Laxmi Road,7 BHK,4500.0,5.0,250.0,7,5555.555555555556
Lulla Nagar,2 BHK,871.0,2.0,55.0,2,6314.580941446613
Mahatma Gandhi Road,2 BHK,1020.0,2.0,40.0,2,3921.5686274509803
Mangalwar peth,3 BHK,1550.0,3.0,73.5,3,4741.935483870968
Manik Bagh,3 Bedroom,3515.0,3.0,420.0,3,11948.790896159317
Market yard,3 BHK,1410.0,2.0,80.0,3,5673.758865248227
Model colony,4 Bedroom,3500.0,5.0,150.0,4,4285.714285714285
Mukund Nagar,2 BHK,1118.0,2.0,75.0,2,6708.4078711985685
Mundhawa,2 BHK,1098.0,2.0,68.0,2,6193.078324225865
Nagar Road,2 BHK,1130.0,2.0,45.2,2,4000.0
Nana Peth,2 BHK,1145.0,2.0,75.0,2,6550.218340611354
Narayan Peth,3 Bedroom,950.0,3.0,80.0,3,8421.052631578947
Narayangaon,2 BHK,1051.0,2.0,33.0,2,3139.8667935299713
Navi Peth,7 Bedroom,600.0,7.0,108.0,7,18000.0
Padmavati,2 BHK,1102.0,2.0,53.67,2,4870.235934664247
Parvati Darshan,2 BHK,1478.0,2.0,125.0,2,8457.374830852503
Pashan,1 BHK,645.0,1.0,16.45,1,2550.3875968992247
Paud Road,2 BHK,823.0,2.0,50.63,2,6151.883353584447
Pirangut,2 BHK,880.0,2.0,35.0,2,3977.2727272727275
Prabhat Road,4 Bedroom,600.0,5.0,75.0,4,12500.0
Pune Railway Station,3 BHK,1991.0,4.0,100.0,3,5022.601707684581
Rasta Peth,3 BHK,1100.0,3.0,50.0,3,4545.454545454545
Raviwar Peth,3 BHK,1745.0,3.0,115.0,3,6590.25787965616
Sadashiv Peth,2 BHK,1226.0,3.0,135.0,2,11011.419249592169
Sahakar Nagar,3 Bedroom,680.0,4.0,68.0,3,10000.0
Salunke Vihar,2 BHK,1100.0,2.0,70.0,2,6363.636363636364
Sasson Road,4 Bedroom,1200.0,4.0,195.0,4,16250.0
Satara Road,2 BHK,1450.0,2.0,58.0,2,4000.0
Senapati Bapat Road,4 BHK,3366.0,4.0,120.0,4,3565.0623885918003
Shaniwar Peth,2 BHK,1150.0,2.0,54.0,2,4695.652173913043
Shivaji Nagar,3 BHK,1843.0,3.0,95.84,3,5200.217037438958
Shukrawar Peth,4 Bedroom,2200.0,4.0,195.0,4,8863.636363636364
Sinhagad Road,2 BHK,1090.0,3.0,44.0,2,4036.697247706422
Somwar Peth,2 BHK,1132.0,2.0,42.0,2,3710.2473498233217
Swargate,2 BHK,1375.0,2.0,80.0,2,5818.181818181818
Tilak Road,4 Bedroom,1500.0,5.0,220.0,4,14666.666666666666
Uruli Devachi,1 BHK,760.0,1.0,50.3,1,6618.421052631579
Vadgaon Budruk,2 BHK,1180.0,2.0,65.0,2,5508.474576271186
Wadgaon Sheri,2 BHK,918.0,2.0,45.0,2,4901.9607843137255
Viman Nagar,5 Bedroom,600.0,5.0,50.0,5,8333.333333333334
Vishrant Wadi,2 Bedroom,1200.0,1.0,53.0,2,4416.666666666667
Wagholi,2 BHK,1372.0,2.0,61.0,2,4446.064139941691
Wakadewadi,7 Bedroom,2400.0,7.0,355.0,7,14791.666666666666
Wanowrie,3 BHK,1728.0,3.0,95.0,3,5497.685185185185
Warje,3 BHK,2215.0,3.0,275.0,3,12415.349887133183
Yerawada,2 BHK,1200.0,2.0,80.0,2,6666.666666666667
Alandi Road,2 BHK,1280.0,2.0,56.0,2,4375.0
Ambegaon Budruk,4 Bedroom,800.0,4.0,110.0,4,13750.0
Anandnagar,3 BHK,1455.0,2.0,56.0,3,3848.7972508591065
Aundh,1 RK,440.0,1.0,28.0,1,6363.636363636364
Aundh Road,3 Bedroom,1500.0,3.0,97.0,3,6466.666666666667
Balaji Nagar,3 BHK,1800.0,3.0,110.0,3,6111.111111111111
Baner,3 BHK,1525.0,3.0,96.0,3,6295.081967213115
Baner road,2 BHK,1204.0,2.0,38.5,2,3197.6744186046512
Bhandarkar Road,2 BHK,1225.0,2.0,53.55,2,4371.428571428572
Bhavani Peth,6 Bedroom,800.0,6.0,98.0,6,12250.0
Bibvewadi,3 BHK,1650.0,3.0,122.0,3,7393.939393939394
Bopodi,3 BHK,880.0,2.0,18.0,3,2045.4545454545455
Budhwar Peth,4 Bedroom,4200.0,4.0,255.0,4,6071.428571428572
Bund Garden Road,2 Bedroom,1200.0,2.0,55.0,2,4583.333333333333
Camp,4 Bedroom,1152.0,4.0,230.0,4,19965.277777777777
Chandan Nagar,2 BHK,1005.0,2.0,42.0,2,4179.104477611941
Dapodi,3 BHK,1562.0,3.0,103.0,3,6594.110115236876
Deccan Gymkhana,4 Bedroom,5000.0,5.0,395.0,4,7900.0
Dehu Road,6 Bedroom,810.0,5.0,95.0,6,11728.395061728395
Dhankawadi,2 BHK,1200.0,2.0,42.0,2,3500.0
Dhayari Phata,3 BHK,1555.0,3.0,82.5,3,5305.4662379421225
Dhole Patil Road,2 Bedroom,1550.0,2.0,71.0,2,4580.645161290323
Erandwane,2 BHK,1190.0,2.0,67.0,2,5630.252100840336
Fatima Nagar,2 BHK,1070.0,2.0,50.0,2,4672.897196261682
Ganesh Peth,2 BHK,1020.0,2.0,42.48,2,4164.705882352941
Ganeshkhind,3 BHK,1610.0,3.0,115.0,3,7142.857142857143
Ghorpade Peth,1 BHK,700.0,1.0,41.0,1,5857.142857142857
Ghorpadi,3 BHK,1300.0,2.0,49.0,3,3769.230769230769
Gokhale Nagar,2 BHK,1420.0,2.0,123.0,2,8661.971830985916
Gultekdi,9 Bedroom,1200.0,9.0,100.0,9,8333.333333333334
Guruwar peth,3 BHK,1069.0,3.0,65.4,3,6117.867165575305
Hadapsar,3 BHK,1900.0,3.0,123.0,3,6473.684210526316
Hadapsar Industrial Estate,2 BHK,1655.0,2.0,97.65,2,5900.302114803625
Hingne Khurd,2 BHK,1155.0,2.0,40.42,2,3499.5670995670994
Jangali Maharaj Road,3 BHK,1300.0,2.0,70.0,3,5384.615384615385
Kalyani Nagar,2 BHK,1100.0,2.0,45.0,2,4090.909090909091
Karve Nagar,2 BHK,1030.0,2.0,42.0,2,4077.669902912621
Karve Road,2 BHK,2105.0,2.0,70.2,2,3334.916864608076
Kasba Peth,3 BHK,1700.0,3.0,126.0,3,7411.764705882353
Katraj,3 BHK,1760.0,3.0,139.0,3,7897.727272727273
Khadaki,9 Bedroom,6200.0,9.0,200.0,9,3225.8064516129034
Khadki,2 BHK,1400.0,2.0,67.0,2,4785.714285714285
Kharadi,2 BHK,1200.0,2.0,53.0,2,4416.666666666667
Kondhwa,2 BHK,912.0,2.0,55.0,2,6030.701754385965
Kondhwa Budruk,2 BHK,1102.0,2.0,48.0,2,4355.716878402904
Kondhwa Khurd,3 BHK,1535.0,3.0,55.0,3,3583.061889250814
Koregaon Park,2 BHK,1243.0,2.0,46.0,2,3700.7240547063557
Kothrud,2 BHK,918.0,2.0,63.2,2,6884.531590413943
Law College Road,3 BHK,1500.0,2.0,70.0,3,4666.666666666667
Laxmi Road,3 Bedroom,3000.0,3.0,250.0,3,8333.333333333334
Lulla Nagar,3 BHK,1476.0,3.0,89.0,3,6029.810298102981
Mahatma Gandhi Road,2 BHK,1200.0,2.0,65.0,2,5416.666666666667
Mangalwar peth,1 BHK,606.0,1.0,34.78,1,5739.273927392739
Manik Bagh,2 BHK,1100.0,2.0,61.0,2,5545.454545454545
Market yard,3 BHK,1295.0,2.0,59.5,3,4594.594594594595
Model colony,1 BHK,527.0,1.0,26.0,1,4933.586337760911
Mukund Nagar,2 BHK,1300.0,2.0,80.0,2,6153.846153846154
Mundhawa,3 Bedroom,680.0,4.0,68.0,3,10000.0
Nagar Road,1 Bedroom,1260.0,1.0,41.0,1,3253.968253968254
Nana Peth,2 BHK,1140.0,2.0,75.2,2,6596.491228070176
Narayan Peth,1 Bedroom,1500.0,1.0,37.5,1,2500.0
Narayangaon,3 BHK,2321.0,4.0,128.0,3,5514.864282636794
Navi Peth,2 BHK,1390.0,2.0,62.0,2,4460.431654676259
Padmavati,3 BHK,1725.0,3.0,90.0,3,5217.391304347826
Parvati Darshan,4 BHK,3067.0,4.0,310.0,4,10107.597000326052
Pashan,3 BHK,1186.0,2.0,63.0,3,5311.973018549747
Paud Road,2 BHK,1230.0,2.0,85.0,2,6910.569105691057
Pirangut,1 BHK,600.0,1.0,17.0,1,2833.3333333333335
Prabhat Road,3 BHK,1313.0,3.0,96.0,3,7311.500380807312
Pune Railway Station,2 Bedroom,900.0,2.0,55.0,2,6111.111111111111
Rasta Peth,2 BHK,1250.0,2.0,66.25,2,5300.0
Raviwar Peth,9 Bedroom,1200.0,6.0,280.0,9,23333.333333333332
Sadashiv Peth,1 BHK,660.0,1.0,54.0,1,8181.818181818182
Sahakar Nagar,2 BHK,1036.0,2.0,105.0,2,10135.135135135135
Salunke Vihar,4 BHK,2700.0,4.0,450.0,4,16666.666666666668
Sasson Road,2 BHK,1100.0,2.0,70.0,2,6363.636363636364
Senapati Bapat Road,4 Bedroom,1500.0,2.0,450.0,4,30000.0
Shaniwar Peth,4 Bedroom,525.0,5.0,56.0,4,10666.666666666666
Shivaji Nagar,2 BHK,1015.0,2.0,56.0,2,5517.241379310345
Shukrawar Peth,1 Bedroom,812.0,1.0,26.0,1,3201.9704433497536
Sinhagad Road,3 BHK,1360.0,2.0,65.0,3,4779.411764705882
Somwar Peth,3 BHK,2167.0,3.0,170.0,3,7844.946931241348
Swargate,2 BHK,1200.0,2.0,35.0,2,2916.6666666666665
Tilak Road,2 BHK,1165.0,2.0,75.0,2,6437.768240343347
Uruli Devachi,2 BHK,1274.0,2.0,70.0,2,5494.505494505494
Vadgaon Budruk,2 BHK,1151.0,2.0,39.02,2,3390.095569070374
Wadgaon Sheri,6 Bedroom,1060.0,6.0,110.0,6,10377.358490566037
Viman Nagar,3 BHK,1626.0,2.0,120.0,3,7380.073800738008
Vishrant Wadi,2 BHK,1035.0,2.0,35.77,2,3456.038647342996
Wagholi,3 Bedroom,1272.0,4.0,75.0,3,5896.226415094339
Wakadewadi,2 BHK,965.0,2.0,45.0,2,4663.21243523316
Wanowrie,5 Bedroom,1600.0,5.0,140.0,5,8750.0
Warje,2 BHK,1070.0,2.0,42.79,2,3999.0654205607475
Yerawada,3 BHK,1570.0,2.0,65.0,3,4140.127388535032
Ambegaon Budruk,2 BHK,780.0,2.0,25.0,2,3205.128205128205
Anandnagar,3 BHK,1000.0,2.0,65.0,3,6500.0
Aundh,4 Bedroom,1200.0,3.0,188.0,4,15666.666666666666
Aundh Road,7 Bedroom,7500.0,7.0,400.0,7,5333.333333333333
Balaji Nagar,3 BHK,1700.0,2.0,100.0,3,5882.35294117647
Baner,3 BHK,1850.0,3.0,110.0,3,5945.945945945946
Baner road,2 BHK,904.0,2.0,30.0,2,3318.5840707964603
Bhandarkar Road,2 BHK,1121.0,2.0,43.72,2,3900.0892060660126
Bhavani Peth,3 BHK,1385.0,2.0,58.17,3,4200.0
Bibvewadi,2 BHK,1270.0,2.0,69.85,2,5499.999999999999
Bopodi,3 BHK,1450.0,3.0,56.0,3,3862.0689655172414
Budhwar Peth,3 Bedroom,2400.0,4.0,325.0,3,13541.666666666666
Bund Garden Road,1 BHK,730.0,1.0,35.0,1,4794.520547945205
Camp,3 BHK,1580.0,3.0,53.56,3,3389.8734177215188
Chandan Nagar,2 BHK,1111.0,2.0,50.0,2,4500.450045004501
Dapodi,4 Bedroom,1125.0,2.0,88.0,4,7822.222222222223
